Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Sales_Value,OOS_Status,OOS_Percentage,DOI,FIFO_Priority,Replenishment_Status
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,7417.44,In Stock,0.53%,1.91,Pick First,Sufficient
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229,9378.72,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157,7175.16,In Stock,,2.17,Pick First,Sufficient
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52,3943.35,In Stock,,3.09,Pick First,Sufficient
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59,3536.65,In Stock,,2.34,Pick First,Sufficient
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55,2131.8,In Stock,,3.48,Pick First,Sufficient
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94,1884.87,In Stock,,1.46,Pick First,Sufficient
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61,1587.18,In Stock,,5.81,Pick First,Sufficient
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129,8289.6,In Stock,,1.31,Pick First,Sufficient
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69,7934.5,In Stock,,2.74,Pick First,Sufficient
2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,0,188.96,Winter,0,64,7973.34,In Stock,,4.22,Pick First,Sufficient
2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,0,92.02,Winter,0,104,10222.08,In Stock,,2.39,Pick First,Sufficient
2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,0,39.11,Winter,0,110,3740.3,In Stock,,2.47,Pick First,Sufficient
2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,1,92.24,Winter,0,165,9695.73,In Stock,,2.08,Pick First,Sufficient
2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,0,13.59,Winter,0,64,791.45,In Stock,,2.16,Pick First,Sufficient
2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,0,35.14,Winter,0,115,3025.62,In Stock,,1.32,Pick First,Sufficient
2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,0,22.73,Winter,0,75,1251.39,In Stock,,2.17,Pick First,Sufficient
2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,0,54.1,Winter,0,66,4243.2,In Stock,,3.60,Pick First,Sufficient
2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,0,103.05,Winter,0,58,5829.16,In Stock,,4.61,Pick First,Sufficient
2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,0,115.24,Winter,0,43,3616.92,In Stock,,7.39,Pick First,Sufficient
2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,0,81.87,Winter,0,118,9270.78,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,1,30.95,Winter,0,105,3055.92,In Stock,,1.62,Pick First,Sufficient
2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171,15893.39,In Stock,,1.12,Pick First,Sufficient
2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110,4388.94,In Stock,,1.44,Pick First,Sufficient
2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94,9512.05,In Stock,,1.50,Pick First,Sufficient
2022-01-01,S002,P0006,Clothing,South,198,79,0,64,5,Cloudy,0,57.37,Winter,0,88,5056,In Stock,,2.51,Pick First,Sufficient
2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93,2266.83,In Stock,,2.62,Pick First,Sufficient
2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112,3178.12,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145,8494.04,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195,13826.06,In Stock,,2.05,Pick First,Sufficient
2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79,4150.79,In Stock,,4.20,Pick First,Sufficient
2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122,6151.08,In Stock,,2.53,Pick First,Sufficient
2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109,2023.68,In Stock,,1.63,Pick First,Sufficient
2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63,6912.42,In Stock,,2.22,Pick First,Sufficient
2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0,96,4563.3,In Stock,,1.51,Pick First,Sufficient
2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0,194,12641.31,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0,65,1360.08,In Stock,,2.13,Pick First,Sufficient
2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0,79,1909.23,In Stock,,1.83,Pick First,Sufficient
2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0,96,6813.38,In Stock,,2.00,Pick First,Sufficient
2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0,53,5409.4,In Stock,,2.93,Pick First,Sufficient
2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,0,15.48,Winter,0,112,1836.65,In Stock,,1.67,Pick First,Sufficient
2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,1,45.94,Winter,0,82,2823.52,In Stock,,5.18,Pick First,Sufficient
2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,1,72.09,Winter,0,126,10146.74,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,0,30.05,Winter,0,158,3207.38,In Stock,,1.66,Pick First,Sufficient
2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,0,17.3,Winter,0,57,792,In Stock,,6.33,Pick First,Sufficient
2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,0,50.46,Winter,0,136,4731.84,In Stock,,2.14,Pick First,Sufficient
2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,0,21.62,Winter,0,142,2293.95,In Stock,,2.01,Pick First,Sufficient
2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,0,126.44,Winter,0,89,6893.61,In Stock,,4.87,Pick First,Sufficient
2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,0,66.33,Winter,0,126,5406.72,In Stock,,2.35,Pick First,Sufficient
2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,0,39.87,Winter,0,106,2534.7,In Stock,,2.39,Pick First,Sufficient
2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,0,139.75,Winter,0,149,20592.12,In Stock,,1.01,Pick First,Sufficient
2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,0,103.35,Winter,0,80,6144.52,In Stock,,2.17,Pick First,Sufficient
2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,0,78.8,Winter,0,176,9111.9,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,1,53.36,Winter,0,44,1665.63,In Stock,,10.04,Pick First,Sufficient
2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,0,104.52,Winter,0,133,12898.26,In Stock,,1.27,Pick First,Sufficient
2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,0,107.33,Winter,0,108,7528.8,In Stock,,3.65,Pick First,Sufficient
2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,0,133.9,Winter,0,82,5948.19,In Stock,,3.85,Pick First,Sufficient
2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,0,125.53,Winter,0,75,7557.2,In Stock,,5.16,Pick First,Sufficient
2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,0,70.74,Winter,0,123,6508.39,In Stock,,1.84,Pick First,Sufficient
2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,0,57.66,Winter,0,61,2698.21,In Stock,,6.10,Pick First,Sufficient
2022-01-01,S004,P0001,Groceries,West,215,85,287,10.47,0,Snowy,0,11.51,Winter,0,81,889.95,In Stock,,2.53,Pick First,Sufficient
2022-01-01,S004,P0002,Groceries,West,283,67,0,19.12,10,Snowy,1,20.62,Winter,0,112,1281.04,In Stock,,4.22,Pick First,Sufficient
2022-01-01,S004,P0003,Furniture,West,161,92,407,134.16,20,Snowy,1,117.74,Winter,0,114,12342.72,In Stock,,1.75,Pick First,Sufficient
2022-01-01,S004,P0004,Groceries,West,168,88,252,51.64,0,Snowy,0,57.32,Winter,0,86,4544.32,In Stock,,1.91,Pick First,Sufficient
2022-01-01,S004,P0005,Clothing,West,289,197,0,89.23,10,Snowy,0,77.73,Winter,0,183,17578.31,In Stock,,1.47,Pick First,Sufficient
2022-01-01,S004,P0006,Groceries,West,206,48,162,35.33,0,Snowy,0,34.77,Winter,0,73,1695.84,In Stock,,4.29,Pick First,Sufficient
2022-01-01,S004,P0007,Groceries,West,185,43,253,24.34,5,Snowy,0,26.46,Winter,0,65,1046.62,In Stock,,4.30,Pick First,Sufficient
